Byte 1;Byte 2;Byte 3;;Byte 1 Bin;Byte 2 Bin;Byte 3 Bin
13;193;0;;00001101;11000001;00000000
14;193;0;;00001110;11000001;00000000
15;193;0;;00001111;11000001;00000000
16;193;0;;00010000;11000001;00000000
17;193;0;;00010001;11000001;00000000
18;193;0;;00010010;11000001;00000000
19;193;0;;00010011;11000001;00000000
20;193;0;;00010100;11000001;00000000
21;193;0;;00010101;11000001;00000000
22;193;0;;00010110;11000001;00000000
23;193;0;;00010111;11000001;00000000
24;193;0;;00011000;11000001;00000000
25;193;0;;00011001;11000001;00000000
26;193;0;;00011010;11000001;00000000
27;193;0;;00011011;11000001;00000000
28;193;0;;00011100;11000001;00000000
29;193;0;;00011101;11000001;00000000
30;193;0;;00011110;11000001;00000000
31;193;0;;00011111;11000001;00000000
32;193;0;;00100000;11000001;00000000
33;193;0;;00100001;11000001;00000000
34;193;0;;00100010;11000001;00000000
35;193;0;;00100011;11000001;00000000
36;193;0;;00100100;11000001;00000000
37;193;0;;00100101;11000001;00000000
38;193;0;;00100110;11000001;00000000
39;193;0;;00100111;11000001;00000000
40;193;0;;00101000;11000001;00000000
41;193;0;;00101001;11000001;00000000
42;193;0;;00101010;11000001;00000000
43;193;0;;00101011;11000001;00000000
44;193;0;;00101100;11000001;00000000
45;193;0;;00101101;11000001;00000000
46;193;0;;00101110;11000001;00000000
47;193;0;;00101111;11000001;00000000
48;193;0;;00110000;11000001;00000000
49;193;0;;00110001;11000001;00000000
50;193;0;;00110010;11000001;00000000
51;193;0;;00110011;11000001;00000000
52;193;0;;00110100;11000001;00000000
53;193;0;;00110101;11000001;00000000
54;193;0;;00110110;11000001;00000000
55;193;0;;00110111;11000001;00000000
56;193;0;;00111000;11000001;00000000
57;193;0;;00111001;11000001;00000000
58;193;0;;00111010;11000001;00000000
59;193;0;;00111011;11000001;00000000
60;193;0;;00111100;11000001;00000000
61;193;0;;00111101;11000001;00000000
62;193;0;;00111110;11000001;00000000
63;193;0;;00111111;11000001;00000000
64;193;0;;01000000;11000001;00000000
65;193;0;;01000001;11000001;00000000
66;193;0;;01000010;11000001;00000000
67;193;0;;01000011;11000001;00000000
68;193;0;;01000100;11000001;00000000
69;193;0;;01000101;11000001;00000000
70;193;0;;01000110;11000001;00000000
71;193;0;;01000111;11000001;00000000
72;193;0;;01001000;11000001;00000000
73;193;0;;01001001;11000001;00000000
74;193;0;;01001010;11000001;00000000
75;193;0;;01001011;11000001;00000000
76;193;0;;01001100;11000001;00000000
77;193;0;;01001101;11000001;00000000
78;193;0;;01001110;11000001;00000000
79;193;0;;01001111;11000001;00000000
80;193;0;;01010000;11000001;00000000
81;193;0;;01010001;11000001;00000000
82;193;0;;01010010;11000001;00000000
83;193;0;;01010011;11000001;00000000
84;193;0;;01010100;11000001;00000000
85;193;0;;01010101;11000001;00000000
86;193;0;;01010110;11000001;00000000
87;193;0;;01010111;11000001;00000000
88;193;0;;01011000;11000001;00000000
89;193;0;;01011001;11000001;00000000
90;193;0;;01011010;11000001;00000000
91;193;0;;01011011;11000001;00000000
92;193;0;;01011100;11000001;00000000
93;193;0;;01011101;11000001;00000000
94;193;0;;01011110;11000001;00000000
95;193;0;;01011111;11000001;00000000
96;193;0;;01100000;11000001;00000000
97;193;0;;01100001;11000001;00000000
98;193;0;;01100010;11000001;00000000
99;193;0;;01100011;11000001;00000000
100;193;0;;01100100;11000001;00000000
101;193;0;;01100101;11000001;00000000
102;193;0;;01100110;11000001;00000000
103;193;0;;01100111;11000001;00000000
104;193;0;;01101000;11000001;00000000
105;193;0;;01101001;11000001;00000000
106;193;0;;01101010;11000001;00000000
107;193;0;;01101011;11000001;00000000
108;193;0;;01101100;11000001;00000000
109;193;0;;01101101;11000001;00000000
110;193;0;;01101110;11000001;00000000
111;193;0;;01101111;11000001;00000000
112;193;0;;01110000;11000001;00000000
113;193;0;;01110001;11000001;00000000
114;193;0;;01110010;11000001;00000000
115;193;0;;01110011;11000001;00000000
116;193;0;;01110100;11000001;00000000
117;193;0;;01110101;11000001;00000000
118;193;0;;01110110;11000001;00000000
119;193;0;;01110111;11000001;00000000
120;193;0;;01111000;11000001;00000000
121;193;0;;01111001;11000001;00000000
122;193;0;;01111010;11000001;00000000
123;193;0;;01111011;11000001;00000000
124;193;0;;01111100;11000001;00000000
125;193;0;;01111101;11000001;00000000
126;193;0;;01111110;11000001;00000000
127;193;0;;01111111;11000001;00000000
0;209;0;;00000000;11010001;00000000
1;209;0;;00000001;11010001;00000000
2;209;0;;00000010;11010001;00000000
3;209;0;;00000011;11010001;00000000
4;209;0;;00000100;11010001;00000000
5;209;0;;00000101;11010001;00000000
6;209;0;;00000110;11010001;00000000
7;209;0;;00000111;11010001;00000000
8;209;0;;00001000;11010001;00000000
9;209;0;;00001001;11010001;00000000
10;209;0;;00001010;11010001;00000000
11;209;0;;00001011;11010001;00000000
12;209;0;;00001100;11010001;00000000
13;209;0;;00001101;11010001;00000000
14;209;0;;00001110;11010001;00000000
15;209;0;;00001111;11010001;00000000
16;209;0;;00010000;11010001;00000000
17;209;0;;00010001;11010001;00000000
18;209;0;;00010010;11010001;00000000
19;209;0;;00010011;11010001;00000000
20;209;0;;00010100;11010001;00000000
21;209;0;;00010101;11010001;00000000
22;209;0;;00010110;11010001;00000000
23;209;0;;00010111;11010001;00000000
24;209;0;;00011000;11010001;00000000
25;209;0;;00011001;11010001;00000000
26;209;0;;00011010;11010001;00000000
27;209;0;;00011011;11010001;00000000
28;209;0;;00011100;11010001;00000000
29;209;0;;00011101;11010001;00000000
30;209;0;;00011110;11010001;00000000
31;209;0;;00011111;11010001;00000000
32;209;0;;00100000;11010001;00000000
33;209;0;;00100001;11010001;00000000
34;209;0;;00100010;11010001;00000000
35;209;0;;00100011;11010001;00000000
36;209;0;;00100100;11010001;00000000
37;209;0;;00100101;11010001;00000000
38;209;0;;00100110;11010001;00000000
39;209;0;;00100111;11010001;00000000
40;209;0;;00101000;11010001;00000000
41;209;0;;00101001;11010001;00000000
42;209;0;;00101010;11010001;00000000
43;209;0;;00101011;11010001;00000000
44;209;0;;00101100;11010001;00000000
45;209;0;;00101101;11010001;00000000
46;209;0;;00101110;11010001;00000000
47;209;0;;00101111;11010001;00000000
48;209;0;;00110000;11010001;00000000
49;209;0;;00110001;11010001;00000000
50;209;0;;00110010;11010001;00000000
51;209;0;;00110011;11010001;00000000
52;209;0;;00110100;11010001;00000000
53;209;0;;00110101;11010001;00000000
54;209;0;;00110110;11010001;00000000
55;209;0;;00110111;11010001;00000000
56;209;0;;00111000;11010001;00000000
57;209;0;;00111001;11010001;00000000
58;209;0;;00111010;11010001;00000000
59;209;0;;00111011;11010001;00000000
60;209;0;;00111100;11010001;00000000
61;209;0;;00111101;11010001;00000000
62;209;0;;00111110;11010001;00000000
63;209;0;;00111111;11010001;00000000
64;209;0;;01000000;11010001;00000000
65;209;0;;01000001;11010001;00000000
66;209;0;;01000010;11010001;00000000
67;209;0;;01000011;11010001;00000000
68;209;0;;01000100;11010001;00000000
69;209;0;;01000101;11010001;00000000
70;209;0;;01000110;11010001;00000000
71;209;0;;01000111;11010001;00000000
72;209;0;;01001000;11010001;00000000
73;209;0;;01001001;11010001;00000000
74;209;0;;01001010;11010001;00000000
75;209;0;;01001011;11010001;00000000
76;209;0;;01001100;11010001;00000000
77;209;0;;01001101;11010001;00000000
78;209;0;;01001110;11010001;00000000
79;209;0;;01001111;11010001;00000000
