framenumber,X Coord,Y Coord,Diameter
361.0,294.0,537.0,116.00312042236328
362.0,294.0,537.0,116.00312042236328
363.0,294.0,537.0,116.00312042236328
364.0,294.0,537.0,116.00312042236328
365.0,295.0,537.0,113.53204345703125
366.0,295.0,537.0,113.53204345703125
367.0,295.0,537.0,113.53204345703125
368.0,295.0,537.0,113.53204345703125
369.0,295.0,537.0,113.53204345703125
370.0,295.0,537.0,114.79398345947266
371.0,295.0,537.0,114.79398345947266
372.0,295.0,537.0,114.79398345947266
373.0,295.0,537.0,114.79398345947266
374.0,295.0,537.0,114.79398345947266
375.0,295.0,537.0,114.79398345947266
376.0,295.0,537.0,114.79398345947266
377.0,294.0,538.0,114.32978820800781
378.0,294.0,538.0,114.32978820800781
379.0,294.0,538.0,114.32978820800781
380.0,294.0,538.0,114.32978820800781
381.0,294.0,537.0,115.12177276611328
382.0,294.0,537.0,115.12177276611328
383.0,294.0,537.0,115.12177276611328
384.0,294.0,537.0,115.12177276611328
385.0,294.0,537.0,115.12177276611328
386.0,294.0,537.0,115.12177276611328
387.0,294.0,537.0,115.12177276611328
388.0,294.0,537.0,113.87675476074219
389.0,294.0,537.0,113.87675476074219
390.0,294.0,537.0,113.87675476074219
391.0,294.0,537.0,113.87675476074219
392.0,294.0,537.0,114.31511688232422
393.0,294.0,537.0,114.31511688232422
394.0,294.0,537.0,114.31511688232422
395.0,294.0,537.0,114.31511688232422
396.0,294.0,537.0,114.31511688232422
397.0,294.0,537.0,114.31511688232422
398.0,294.0,537.0,114.31511688232422
399.0,294.0,538.0,115.22246551513672
400.0,294.0,538.0,115.22246551513672
401.0,294.0,538.0,115.22246551513672
402.0,294.0,538.0,115.22246551513672
403.0,294.0,538.0,115.22246551513672
404.0,293.0,537.0,114.41714477539062
405.0,293.0,537.0,114.41714477539062
406.0,293.0,537.0,114.41714477539062
407.0,293.0,537.0,114.41714477539062
408.0,293.0,537.0,114.41714477539062
409.0,293.0,537.0,114.41714477539062
410.0,293.0,537.0,114.90876007080078
411.0,293.0,537.0,114.90876007080078
412.0,293.0,537.0,114.90876007080078
413.0,293.0,537.0,114.90876007080078
414.0,293.0,537.0,114.90876007080078
415.0,293.0,538.0,113.37198638916016
416.0,293.0,538.0,113.37198638916016
417.0,293.0,538.0,113.37198638916016
418.0,293.0,538.0,113.37198638916016
419.0,293.0,538.0,113.37198638916016
420.0,293.0,538.0,113.37198638916016
421.0,294.0,538.0,113.73162078857422
422.0,294.0,538.0,113.73162078857422
423.0,294.0,538.0,113.73162078857422
424.0,294.0,538.0,113.73162078857422
425.0,294.0,538.0,113.73162078857422
426.0,295.0,538.0,113.15274047851562
427.0,295.0,538.0,113.15274047851562
428.0,295.0,538.0,113.15274047851562
429.0,295.0,538.0,113.15274047851562
430.0,295.0,538.0,113.15274047851562
431.0,295.0,538.0,113.15274047851562
432.0,295.0,538.0,113.15274047851562
433.0,294.0,538.0,114.04092407226562
434.0,294.0,538.0,114.04092407226562
435.0,294.0,538.0,114.04092407226562
436.0,294.0,538.0,114.04092407226562
437.0,293.0,538.0,114.6844711303711
438.0,293.0,538.0,114.6844711303711
439.0,293.0,538.0,114.6844711303711
440.0,293.0,538.0,114.6844711303711
441.0,293.0,538.0,114.6844711303711
442.0,293.0,538.0,114.6844711303711
443.0,293.0,538.0,114.6844711303711
444.0,294.0,537.0,114.26433563232422
445.0,294.0,537.0,114.26433563232422
446.0,294.0,537.0,114.26433563232422
447.0,294.0,537.0,114.26433563232422
448.0,294.0,537.0,114.26433563232422
