Time,X Coord,Y Coord,Radius,Framenumber
1578310082.6937914,37.5,15.0,27.313488006591797,914
1578310082.6987891,37.5,15.0,27.313488006591797,914
1578310082.7057858,37.5,15.0,27.313488006591797,914
1578310082.711783,37.5,12.0,25.739173889160156,914
1578310082.7177775,37.5,12.0,25.739173889160156,914
1578310082.7247741,37.5,10.0,25.318077087402344,914
1578310082.7307715,37.5,10.0,25.318077087402344,914
1578310082.7387679,37.5,10.0,25.318077087402344,914
1578310082.7437644,36.5,14.0,28.71420669555664,914
1578310082.750759,36.5,14.0,28.71420669555664,914
1578310082.757756,37.5,15.0,25.9075927734375,914
1578310082.7627525,37.5,15.0,25.9075927734375,914
1578310082.7697492,36.5,11.0,25.495197296142578,914
1578310082.7757466,36.5,11.0,25.495197296142578,914
1578310082.78274,36.5,11.0,25.495197296142578,914
1578310082.788738,37.5,9.0,26.23945426940918,914
1578310082.7947345,37.5,9.0,26.23945426940918,914
1578310082.8017309,37.5,9.0,26.23945426940918,914
1578310082.8067265,37.5,14.0,26.39151954650879,914
1578310082.8127232,37.5,14.0,26.39151954650879,914
1578310082.8187218,37.5,15.0,26.234619140625,914
1578310082.825718,37.5,15.0,26.234619140625,914
1578310082.8337119,37.5,15.0,26.234619140625,914
1578310082.840709,36.5,9.0,25.990680694580078,914
1578310082.8487031,36.5,9.0,25.990680694580078,914
1578310082.8576977,38.5,10.0,26.73023223876953,914
1578310082.865693,38.5,10.0,26.73023223876953,914
1578310082.8716912,37.5,17.0,26.391536712646484,914
1578310082.8796859,37.5,17.0,26.391536712646484,914
1578310082.8866832,37.5,14.0,25.739173889160156,914
1578310082.8946788,37.5,14.0,25.739173889160156,914
1578310082.901673,36.5,8.0,26.234619140625,914
1578310082.906671,36.5,8.0,26.234619140625,914
1578310082.913668,36.5,8.0,26.234619140625,914
1578310082.9196625,37.5,14.0,26.043333053588867,914
1578310082.9266586,37.5,14.0,26.043333053588867,914
1578310082.9326575,37.5,19.0,26.076908111572266,914
1578310082.9386537,37.5,19.0,26.076908111572266,914
1578310082.9456487,37.5,19.0,26.076908111572266,914
1578310082.951646,36.5,10.0,28.443023681640625,914
1578310082.9596403,36.5,10.0,28.443023681640625,914
1578310082.9656382,36.5,9.0,27.794082641601562,914
1578310082.9706345,36.5,9.0,27.794082641601562,914
1578310082.9776313,36.5,17.0,28.28437042236328,914
1578310082.983627,36.5,17.0,28.28437042236328,914
1578310082.989624,36.5,17.0,28.28437042236328,914
1578310082.9956212,37.5,17.0,26.386943817138672,914
1578310083.001617,37.5,17.0,26.386943817138672,914
1578310083.0076134,37.5,17.0,26.386943817138672,914
1578310083.01361,36.5,10.0,26.234619140625,914
1578310083.0186071,36.5,10.0,26.234619140625,914
1578310083.0256023,37.5,15.0,26.391536712646484,914
1578310083.0316005,37.5,15.0,26.391536712646484,914
